gj04	1		Nossos amigos não compram essa análise, muito menos a próxima que propomos.
gj04	1		Mais uma pseudo generalização e estou desistindo.
gj04	1		Mais uma pseudo generalização ou estou desistindo.
gj04	1		Quanto mais estudamos verbos, mais loucos eles ficam.
gj04	1		Dia após dia, os fatos estão ficando mais obscuros.
gj04	1		Vou te preparar uma bebida.
gj04	1		Fred regou as plantas.
gj04	1		Bill tossiu ao sair do restaurante.
gj04	1		Estamos dançando a noite toda.
gj04	1		Herman martelou o metal.
gj04	1		Os críticos riram da peça fora do palco.
gj04	1		O lago congelou sólido.
gj04	1		Bill saiu da sala.
gj04	1		O jardineiro regou as flores.
gj04	1		O jardineiro regou as flores.
gj04	1		Bill quebrou a banheira em pedaços.
gj04	1		Bill quebrou a banheira.
gj04	1		Beberam o bar seco.
gj04	0	*	Eles beberam o pub.
gj04	1		O professor nos convenceu a estupor.
gj04	0	*	O professor nos falou.
gj04	1		Nós gritamos roucos.
gj04	0	*	Nós gritamos a nós mesmos.
gj04	0	*	Nós gritamos Harry rouco.
gj04	1		Harry tossiu em um ataque.
gj04	0	*	Harry tossiu.
gj04	0	*	Harry nos tossiu em um ataque.
gj04	1		Bill seguiu a estrada para a floresta.
gj04	1		Dirigimos a Highway 5 de SD para SF.
gj04	1		Fred acompanhou o vazamento até a fonte.
gj04	1		John dançou valsas do outro lado da sala.
gj04	1		Bill urinou pela janela.
gj04	1		Bill tossiu pela janela.
gj04	1		Bill sangrou no chão.
gj04	1		O banheiro vazou pelo chão para a cozinha abaixo.
gj04	1		Bill comeu do chão.
gj04	1		Bill bebeu da mangueira.
gj04	1		Este metal martela facilmente.
gj04	1		Eles o fizeram presidente.
gj04	1		Eles o deixaram com raiva.
gj04	0	*	Eles o fizeram ficar com raiva ao fazê-lo.
gj04	0	*	Eles fizeram com que ele se tornasse presidente, tornando-o.
gj04	0	*	Eles o deixaram exausto.
gj04	1		Eles o transformaram em um monstro.
gj04	1		O carrinho retumbou através do túnel.
gj04	1		A carroça retumbou na estrada.
gj04	1		As balas passaram assobiando pela casa.
gj04	1		O candidato à substituição do joelho gemeu pelas escadas.
gj04	0	*	O carro buzinou na estrada.
gj04	0	*	O cachorro latiu para fora da sala.
gj04	1		O cachorro latiu para sair da sala.
gj04	1		Bill assobiou pela casa.
gj04	1		A bruxa desapareceu na floresta.
gj04	1		Bill desapareceu na estrada.
gj04	0	*	A bruxa entrou na floresta desaparecendo.
gj04	1		A bruxa entrou na floresta e assim desapareceu.
gj04	1		O prédio é alto e largo.
gj04	0	*	O prédio é alto e alto.
gj04	1		Este edifício é mais alto e mais largo que esse.
gj04	1		Este edifício ficou mais alto e mais largo que aquele.
gj04	1		Este edifício ficou mais alto e mais alto.
gj04	0	*	Este edifício é cada vez mais alto.
gj04	0	*	Este edifício tem mais do que aquele.
gj04	0	*	Este edifício é mais do que aquele.
gj04	1		Bill flutuou na caverna.
gj04	0	*?	Bill flutuou na caverna por horas.
gj04	0	*?	Bill empurrou Harry do sofá por horas.
gj04	1		Bill flutuou rio abaixo por horas.
gj04	1		Bill flutuou rio abaixo.
gj04	1		Bill empurrou Harry ao longo da trilha por horas.
gj04	1		Bill empurrou Harry pela trilha.
gj04	1		A estrada ziguezagueou morro abaixo.
gj04	1		A corda se estendia sobre a polia.
gj04	1		Os pesos esticaram a corda sobre a polia.
gj04	1		Os pesos mantiveram a corda esticada sobre a polia.
gj04	1		Sam se libertou.
gj04	1		Sam ficou livre cortando o dedo.
gj04	1		Bill chorou até dormir.
